** FASE 1: Generazione dei 4-subset a distanza casuale (4)
** Base set: 0000000000000000000000000001111 {a, b, c, d}
 307 [4]: (006240) 0000000000000000110001001000000 {g, j, n, o}
 308 [4]: (006280) 0000000000000000110001010000000 {h, j, n, o}
 309 [4]: (006300) 0000000000000000110001100000000 {i, j, n, o}
 310 [4]: (006410) 0000000000000000110010000010000 {e, k, n, o}
 311 [4]: (006420) 0000000000000000110010000100000 {f, k, n, o}
 312 [4]: (006440) 0000000000000000110010001000000 {g, k, n, o}
 313 [4]: (006480) 0000000000000000110010010000000 {h, k, n, o}
 314 [4]: (006500) 0000000000000000110010100000000 {i, k, n, o}
 315 [4]: (006600) 0000000000000000110011000000000 {j, k, n, o}
 316 [4]: (006810) 0000000000000000110100000010000 {e, l, n, o}
 317 [4]: (006820) 0000000000000000110100000100000 {f, l, n, o}
 318 [4]: (006840) 0000000000000000110100001000000 {g, l, n, o}
 319 [4]: (006880) 0000000000000000110100010000000 {h, l, n, o}
 320 [4]: (006900) 0000000000000000110100100000000 {i, l, n, o}
 321 [4]: (006A00) 0000000000000000110101000000000 {j, l, n, o}
 322 [4]: (006C00) 0000000000000000110110000000000 {k, l, n, o}
 323 [4]: (007010) 0000000000000000111000000010000 {e, m, n, o}
 324 [4]: (007020) 0000000000000000111000000100000 {f, m, n, o}
 325 [4]: (007040) 0000000000000000111000001000000 {g, m, n, o}
 326 [4]: (007080) 0000000000000000111000010000000 {h, m, n, o}
 327 [4]: (007100) 0000000000000000111000100000000 {i, m, n, o}
 328 [4]: (007200) 0000000000000000111001000000000 {j, m, n, o}
 329 [4]: (007400) 0000000000000000111010000000000 {k, m, n, o}
 330 [4]: (007800) 0000000000000000111100000000000 {l, m, n, o}
 331 [4]: (008070) 0000000000000001000000001110000 {e, f, g, p}
 332 [4]: (0080B0) 0000000000000001000000010110000 {e, f, h, p}
 333 [4]: (0080D0) 0000000000000001000000011010000 {e, g, h, p}
 334 [4]: (0080E0) 0000000000000001000000011100000 {f, g, h, p}
 335 [4]: (008130) 0000000000000001000000100110000 {e, f, i, p}
 336 [4]: (008150) 0000000000000001000000101010000 {e, g, i, p}
 337 [4]: (008160) 0000000000000001000000101100000 {f, g, i, p}
 338 [4]: (008190) 0000000000000001000000110010000 {e, h, i, p}
 339 [4]: (0081A0) 0000000000000001000000110100000 {f, h, i, p}
 340 [4]: (0081C0) 0000000000000001000000111000000 {g, h, i, p}
 341 [4]: (008230) 0000000000000001000001000110000 {e, f, j, p}
 342 [4]: (008250) 0000000000000001000001001010000 {e, g, j, p}
 343 [4]: (008260) 0000000000000001000001001100000 {f, g, j, p}
 344 [4]: (008290) 0000000000000001000001010010000 {e, h, j, p}
 345 [4]: (0082A0) 0000000000000001000001010100000 {f, h, j, p}
 346 [4]: (0082C0) 0000000000000001000001011000000 {g, h, j, p}
 347 [4]: (008310) 0000000000000001000001100010000 {e, i, j, p}
 348 [4]: (008320) 0000000000000001000001100100000 {f, i, j, p}
 349 [4]: (008340) 0000000000000001000001101000000 {g, i, j, p}
 350 [4]: (008380) 0000000000000001000001110000000 {h, i, j, p}
 351 [4]: (008430) 0000000000000001000010000110000 {e, f, k, p}
 352 [4]: (008450) 0000000000000001000010001010000 {e, g, k, p}
 353 [4]: (008460) 0000000000000001000010001100000 {f, g, k, p}
 354 [4]: (008490) 0000000000000001000010010010000 {e, h, k, p}
 355 [4]: (0084A0) 0000000000000001000010010100000 {f, h, k, p}
 356 [4]: (0084C0) 0000000000000001000010011000000 {g, h, k, p}
 357 [4]: (008510) 0000000000000001000010100010000 {e, i, k, p}
 358 [4]: (008520) 0000000000000001000010100100000 {f, i, k, p}
 359 [4]: (008540) 0000000000000001000010101000000 {g, i, k, p}
 360 [4]: (008580) 0000000000000001000010110000000 {h, i, k, p}
 361 [4]: (008610) 0000000000000001000011000010000 {e, j, k, p}
 362 [4]: (008620) 0000000000000001000011000100000 {f, j, k, p}
 363 [4]: (008640) 0000000000000001000011001000000 {g, j, k, p}
 364 [4]: (008680) 0000000000000001000011010000000 {h, j, k, p}
 365 [4]: (008700) 0000000000000001000011100000000 {i, j, k, p}
 366 [4]: (008830) 0000000000000001000100000110000 {e, f, l, p}
 367 [4]: (008850) 0000000000000001000100001010000 {e, g, l, p}
 368 [4]: (008860) 0000000000000001000100001100000 {f, g, l, p}
 369 [4]: (008890) 0000000000000001000100010010000 {e, h, l, p}
 370 [4]: (0088A0) 0000000000000001000100010100000 {f, h, l, p}
 371 [4]: (0088C0) 0000000000000001000100011000000 {g, h, l, p}
 372 [4]: (008910) 0000000000000001000100100010000 {e, i, l, p}
 373 [4]: (008920) 0000000000000001000100100100000 {f, i, l, p}
 374 [4]: (008940) 0000000000000001000100101000000 {g, i, l, p}
 375 [4]: (008980) 0000000000000001000100110000000 {h, i, l, p}
 376 [4]: (008A10) 0000000000000001000101000010000 {e, j, l, p}
 377 [4]: (008A20) 0000000000000001000101000100000 {f, j, l, p}
 378 [4]: (008A40) 0000000000000001000101001000000 {g, j, l, p}
 379 [4]: (008A80) 0000000000000001000101010000000 {h, j, l, p}
 380 [4]: (008B00) 0000000000000001000101100000000 {i, j, l, p}
 381 [4]: (008C10) 0000000000000001000110000010000 {e, k, l, p}
 382 [4]: (008C20) 0000000000000001000110000100000 {f, k, l, p}
 383 [4]: (008C40) 0000000000000001000110001000000 {g, k, l, p}
 384 [4]: (008C80) 0000000000000001000110010000000 {h, k, l, p}
 385 [4]: (008D00) 0000000000000001000110100000000 {i, k, l, p}
 386 [4]: (008E00) 0000000000000001000111000000000 {j, k, l, p}
 387 [4]: (009030) 0000000000000001001000000110000 {e, f, m, p}
 388 [4]: (009050) 0000000000000001001000001010000 {e, g, m, p}
 389 [4]: (009060) 0000000000000001001000001100000 {f, g, m, p}
 390 [4]: (009090) 0000000000000001001000010010000 {e, h, m, p}
 391 [4]: (0090A0) 0000000000000001001000010100000 {f, h, m, p}
 392 [4]: (0090C0) 0000000000000001001000011000000 {g, h, m, p}
 393 [4]: (009110) 0000000000000001001000100010000 {e, i, m, p}
