** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 000000001111 {a, b, c, d}
 449 [4]: (0005C0) 010111000000 {g, h, i, k}
 450 [4]: (000630) 011000110000 {e, f, j, k}
 451 [4]: (000650) 011001010000 {e, g, j, k}
 452 [4]: (000660) 011001100000 {f, g, j, k}
 453 [4]: (000690) 011010010000 {e, h, j, k}
 454 [4]: (0006A0) 011010100000 {f, h, j, k}
 455 [4]: (0006C0) 011011000000 {g, h, j, k}
 456 [4]: (000710) 011100010000 {e, i, j, k}
 457 [4]: (000720) 011100100000 {f, i, j, k}
 458 [4]: (000740) 011101000000 {g, i, j, k}
 459 [4]: (000780) 011110000000 {h, i, j, k}
 460 [4]: (000870) 100001110000 {e, f, g, l}
 461 [4]: (0008B0) 100010110000 {e, f, h, l}
