** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000000000000000111 {a, b, c}
 311 [2]: (100042) 0100000000000001000010 {b, g, u}
 312 [2]: (100082) 0100000000000010000010 {b, h, u}
 313 [2]: (100102) 0100000000000100000010 {b, i, u}
 314 [2]: (100202) 0100000000001000000010 {b, j, u}
 315 [2]: (100402) 0100000000010000000010 {b, k, u}
 316 [2]: (100802) 0100000000100000000010 {b, l, u}
 317 [2]: (101002) 0100000001000000000010 {b, m, u}
 318 [2]: (102002) 0100000010000000000010 {b, n, u}
 319 [2]: (104002) 0100000100000000000010 {b, o, u}
 320 [2]: (108002) 0100001000000000000010 {b, p, u}
 321 [2]: (110002) 0100010000000000000010 {b, q, u}
 322 [2]: (120002) 0100100000000000000010 {b, r, u}
 323 [2]: (140002) 0101000000000000000010 {b, s, u}
 324 [2]: (180002) 0110000000000000000010 {b, t, u}
 325 [2]: (20000A) 1000000000000000001010 {b, d, v}
 326 [2]: (200012) 1000000000000000010010 {b, e, v}
 327 [2]: (200022) 1000000000000000100010 {b, f, v}
 328 [2]: (200042) 1000000000000001000010 {b, g, v}
 329 [2]: (200082) 1000000000000010000010 {b, h, v}
 330 [2]: (200102) 1000000000000100000010 {b, i, v}
 331 [2]: (200202) 1000000000001000000010 {b, j, v}
 332 [2]: (200402) 1000000000010000000010 {b, k, v}
 333 [2]: (200802) 1000000000100000000010 {b, l, v}
 334 [2]: (201002) 1000000001000000000010 {b, m, v}
 335 [2]: (202002) 1000000010000000000010 {b, n, v}
 336 [2]: (204002) 1000000100000000000010 {b, o, v}
 337 [2]: (208002) 1000001000000000000010 {b, p, v}
 338 [2]: (210002) 1000010000000000000010 {b, q, v}
 339 [2]: (220002) 1000100000000000000010 {b, r, v}
 340 [2]: (240002) 1001000000000000000010 {b, s, v}
 341 [2]: (280002) 1010000000000000000010 {b, t, v}
 342 [2]: (300002) 1100000000000000000010 {b, u, v}
 343 [2]: (000019) 0000000000000000011001 {a, d, e}
 344 [2]: (000029) 0000000000000000101001 {a, d, f}
 345 [2]: (000031) 0000000000000000110001 {a, e, f}
 346 [2]: (000049) 0000000000000001001001 {a, d, g}
 347 [2]: (000051) 0000000000000001010001 {a, e, g}
 348 [2]: (000061) 0000000000000001100001 {a, f, g}
 349 [2]: (000089) 0000000000000010001001 {a, d, h}
 350 [2]: (000091) 0000000000000010010001 {a, e, h}
 351 [2]: (0000A1) 0000000000000010100001 {a, f, h}
 352 [2]: (0000C1) 0000000000000011000001 {a, g, h}
 353 [2]: (000109) 0000000000000100001001 {a, d, i}
 354 [2]: (000111) 0000000000000100010001 {a, e, i}
 355 [2]: (000121) 0000000000000100100001 {a, f, i}
 356 [2]: (000141) 0000000000000101000001 {a, g, i}
 357 [2]: (000181) 0000000000000110000001 {a, h, i}
 358 [2]: (000209) 0000000000001000001001 {a, d, j}
 359 [2]: (000211) 0000000000001000010001 {a, e, j}
 360 [2]: (000221) 0000000000001000100001 {a, f, j}
 361 [2]: (000241) 0000000000001001000001 {a, g, j}
 362 [2]: (000281) 0000000000001010000001 {a, h, j}
 363 [2]: (000301) 0000000000001100000001 {a, i, j}
 364 [2]: (000409) 0000000000010000001001 {a, d, k}
 365 [2]: (000411) 0000000000010000010001 {a, e, k}
 366 [2]: (000421) 0000000000010000100001 {a, f, k}
 367 [2]: (000441) 0000000000010001000001 {a, g, k}
 368 [2]: (000481) 0000000000010010000001 {a, h, k}
 369 [2]: (000501) 0000000000010100000001 {a, i, k}
 370 [2]: (000601) 0000000000011000000001 {a, j, k}
 371 [2]: (000809) 0000000000100000001001 {a, d, l}
 372 [2]: (000811) 0000000000100000010001 {a, e, l}
 373 [2]: (000821) 0000000000100000100001 {a, f, l}
 374 [2]: (000841) 0000000000100001000001 {a, g, l}
 375 [2]: (000881) 0000000000100010000001 {a, h, l}
 376 [2]: (000901) 0000000000100100000001 {a, i, l}
 377 [2]: (000A01) 0000000000101000000001 {a, j, l}
 378 [2]: (000C01) 0000000000110000000001 {a, k, l}
 379 [2]: (001009) 0000000001000000001001 {a, d, m}
 380 [2]: (001011) 0000000001000000010001 {a, e, m}
 381 [2]: (001021) 0000000001000000100001 {a, f, m}
 382 [2]: (001041) 0000000001000001000001 {a, g, m}
 383 [2]: (001081) 0000000001000010000001 {a, h, m}
 384 [2]: (001101) 0000000001000100000001 {a, i, m}
 385 [2]: (001201) 0000000001001000000001 {a, j, m}
 386 [2]: (001401) 0000000001010000000001 {a, k, m}
 387 [2]: (001801) 0000000001100000000001 {a, l, m}
 388 [2]: (002009) 0000000010000000001001 {a, d, n}
 389 [2]: (002011) 0000000010000000010001 {a, e, n}
 390 [2]: (002021) 0000000010000000100001 {a, f, n}
 391 [2]: (002041) 0000000010000001000001 {a, g, n}
 392 [2]: (002081) 0000000010000010000001 {a, h, n}
 393 [2]: (002101) 0000000010000100000001 {a, i, n}
 394 [2]: (002201) 0000000010001000000001 {a, j, n}
 395 [2]: (002401) 0000000010010000000001 {a, k, n}
 396 [2]: (002801) 0000000010100000000001 {a, l, n}
 397 [2]: (003001) 0000000011000000000001 {a, m, n}
 398 [2]: (004009) 0000000100000000001001 {a, d, o}
 399 [2]: (004011) 0000000100000000010001 {a, e, o}
 400 [2]: (004021) 0000000100000000100001 {a, f, o}
 401 [2]: (004041) 0000000100000001000001 {a, g, o}
 402 [2]: (004081) 0000000100000010000001 {a, h, o}
 403 [2]: (004101) 0000000100000100000001 {a, i, o}
 404 [2]: (004201) 0000000100001000000001 {a, j, o}
 405 [2]: (004401) 0000000100010000000001 {a, k, o}
 406 [2]: (004801) 0000000100100000000001 {a, l, o}
 407 [2]: (005001) 0000000101000000000001 {a, m, o}
 408 [2]: (006001) 0000000110000000000001 {a, n, o}
 409 [2]: (008009) 0000001000000000001001 {a, d, p}
 410 [2]: (008011) 0000001000000000010001 {a, e, p}
 411 [2]: (008021) 0000001000000000100001 {a, f, p}
 412 [2]: (008041) 0000001000000001000001 {a, g, p}
 413 [2]: (008081) 0000001000000010000001 {a, h, p}
 414 [2]: (008101) 0000001000000100000001 {a, i, p}
 415 [2]: (008201) 0000001000001000000001 {a, j, p}
 416 [2]: (008401) 0000001000010000000001 {a, k, p}
 417 [2]: (008801) 0000001000100000000001 {a, l, p}
 418 [2]: (009001) 0000001001000000000001 {a, m, p}
 419 [2]: (00A001) 0000001010000000000001 {a, n, p}
 420 [2]: (00C001) 0000001100000000000001 {a, o, p}
 421 [2]: (010009) 0000010000000000001001 {a, d, q}
 422 [2]: (010011) 0000010000000000010001 {a, e, q}
 423 [2]: (010021) 0000010000000000100001 {a, f, q}
 424 [2]: (010041) 0000010000000001000001 {a, g, q}
 425 [2]: (010081) 0000010000000010000001 {a, h, q}
 426 [2]: (010101) 0000010000000100000001 {a, i, q}
 427 [2]: (010201) 0000010000001000000001 {a, j, q}
 428 [2]: (010401) 0000010000010000000001 {a, k, q}
 429 [2]: (010801) 0000010000100000000001 {a, l, q}
 430 [2]: (011001) 0000010001000000000001 {a, m, q}
 431 [2]: (012001) 0000010010000000000001 {a, n, q}
 432 [2]: (014001) 0000010100000000000001 {a, o, q}
 433 [2]: (018001) 0000011000000000000001 {a, p, q}
 434 [2]: (020009) 0000100000000000001001 {a, d, r}
 435 [2]: (020011) 0000100000000000010001 {a, e, r}
 436 [2]: (020021) 0000100000000000100001 {a, f, r}
 437 [2]: (020041) 0000100000000001000001 {a, g, r}
 438 [2]: (020081) 0000100000000010000001 {a, h, r}
 439 [2]: (020101) 0000100000000100000001 {a, i, r}
 440 [2]: (020201) 0000100000001000000001 {a, j, r}
 441 [2]: (020401) 0000100000010000000001 {a, k, r}
 442 [2]: (020801) 0000100000100000000001 {a, l, r}
 443 [2]: (021001) 0000100001000000000001 {a, m, r}
 444 [2]: (022001) 0000100010000000000001 {a, n, r}
 445 [2]: (024001) 0000100100000000000001 {a, o, r}
 446 [2]: (028001) 0000101000000000000001 {a, p, r}
 447 [2]: (030001) 0000110000000000000001 {a, q, r}
 448 [2]: (040009) 0001000000000000001001 {a, d, s}
 449 [2]: (040011) 0001000000000000010001 {a, e, s}
 450 [2]: (040021) 0001000000000000100001 {a, f, s}
 451 [2]: (040041) 0001000000000001000001 {a, g, s}
 452 [2]: (040081) 0001000000000010000001 {a, h, s}
 453 [2]: (040101) 0001000000000100000001 {a, i, s}
 454 [2]: (040201) 0001000000001000000001 {a, j, s}
 455 [2]: (040401) 0001000000010000000001 {a, k, s}
 456 [2]: (040801) 0001000000100000000001 {a, l, s}
 457 [2]: (041001) 0001000001000000000001 {a, m, s}
 458 [2]: (042001) 0001000010000000000001 {a, n, s}
 459 [2]: (044001) 0001000100000000000001 {a, o, s}
 460 [2]: (048001) 0001001000000000000001 {a, p, s}
 461 [2]: (050001) 0001010000000000000001 {a, q, s}
 462 [2]: (060001) 0001100000000000000001 {a, r, s}
 463 [2]: (080009) 0010000000000000001001 {a, d, t}
 464 [2]: (080011) 0010000000000000010001 {a, e, t}
 465 [2]: (080021) 0010000000000000100001 {a, f, t}
 466 [2]: (080041) 0010000000000001000001 {a, g, t}
 467 [2]: (080081) 0010000000000010000001 {a, h, t}
 468 [2]: (080101) 0010000000000100000001 {a, i, t}
 469 [2]: (080201) 0010000000001000000001 {a, j, t}
 470 [2]: (080401) 0010000000010000000001 {a, k, t}
 471 [2]: (080801) 0010000000100000000001 {a, l, t}
