** FASE 1: Generazione dei 6-subset a distanza casuale (5)
 314 [3]: (0009B2) 100110110010 {b, e, f, h, i, l}
 315 [3]: (000A72) 101001110010 {b, e, f, g, j, l}
 316 [3]: (000AB2) 101010110010 {b, e, f, h, j, l}
 317 [3]: (000B32) 101100110010 {b, e, f, i, j, l}
 318 [3]: (000C72) 110001110010 {b, e, f, g, k, l}
 319 [3]: (000CB2) 110010110010 {b, e, f, h, k, l}
 320 [3]: (000D32) 110100110010 {b, e, f, i, k, l}
 321 [3]: (000E32) 111000110010 {b, e, f, j, k, l}
 322 [3]: (0001F1) 000111110001 {a, e, f, g, h, i}
 323 [3]: (0002F1) 001011110001 {a, e, f, g, h, j}
 324 [3]: (000371) 001101110001 {a, e, f, g, i, j}
 325 [3]: (0003B1) 001110110001 {a, e, f, h, i, j}
 326 [3]: (0004F1) 010011110001 {a, e, f, g, h, k}
 327 [3]: (000571) 010101110001 {a, e, f, g, i, k}
 328 [3]: (0005B1) 010110110001 {a, e, f, h, i, k}
 329 [3]: (000671) 011001110001 {a, e, f, g, j, k}
 330 [3]: (0006B1) 011010110001 {a, e, f, h, j, k}
 331 [3]: (000731) 011100110001 {a, e, f, i, j, k}
 332 [3]: (0008F1) 100011110001 {a, e, f, g, h, l}
 333 [3]: (000971) 100101110001 {a, e, f, g, i, l}
 334 [3]: (0009B1) 100110110001 {a, e, f, h, i, l}
 335 [3]: (000A71) 101001110001 {a, e, f, g, j, l}
 336 [3]: (000AB1) 101010110001 {a, e, f, h, j, l}
 337 [3]: (000B31) 101100110001 {a, e, f, i, j, l}
 338 [3]: (000C71) 110001110001 {a, e, f, g, k, l}
 339 [3]: (000CB1) 110010110001 {a, e, f, h, k, l}
 340 [3]: (000D31) 110100110001 {a, e, f, i, k, l}
 341 [3]: (000E31) 111000110001 {a, e, f, j, k, l}
 342 [3]: (0001EC) 000111101100 {c, d, f, g, h, i}
 343 [3]: (0002EC) 001011101100 {c, d, f, g, h, j}
 344 [3]: (00036C) 001101101100 {c, d, f, g, i, j}
 345 [3]: (0003AC) 001110101100 {c, d, f, h, i, j}
 346 [3]: (0004EC) 010011101100 {c, d, f, g, h, k}
 347 [3]: (00056C) 010101101100 {c, d, f, g, i, k}
 348 [3]: (0005AC) 010110101100 {c, d, f, h, i, k}
 349 [3]: (00066C) 011001101100 {c, d, f, g, j, k}
 350 [3]: (0006AC) 011010101100 {c, d, f, h, j, k}
 351 [3]: (00072C) 011100101100 {c, d, f, i, j, k}
 352 [3]: (0008EC) 100011101100 {c, d, f, g, h, l}
 353 [3]: (00096C) 100101101100 {c, d, f, g, i, l}
 354 [3]: (0009AC) 100110101100 {c, d, f, h, i, l}
 355 [3]: (000A6C) 101001101100 {c, d, f, g, j, l}
 356 [3]: (000AAC) 101010101100 {c, d, f, h, j, l}
 357 [3]: (000B2C) 101100101100 {c, d, f, i, j, l}
 358 [3]: (000C6C) 110001101100 {c, d, f, g, k, l}
 359 [3]: (000CAC) 110010101100 {c, d, f, h, k, l}
 360 [3]: (000D2C) 110100101100 {c, d, f, i, k, l}
 361 [3]: (000E2C) 111000101100 {c, d, f, j, k, l}
 362 [3]: (0001EA) 000111101010 {b, d, f, g, h, i}
 363 [3]: (0002EA) 001011101010 {b, d, f, g, h, j}
 364 [3]: (00036A) 001101101010 {b, d, f, g, i, j}
 365 [3]: (0003AA) 001110101010 {b, d, f, h, i, j}
 366 [3]: (0004EA) 010011101010 {b, d, f, g, h, k}
 367 [3]: (00056A) 010101101010 {b, d, f, g, i, k}
 368 [3]: (0005AA) 010110101010 {b, d, f, h, i, k}
 369 [3]: (00066A) 011001101010 {b, d, f, g, j, k}
 370 [3]: (0006AA) 011010101010 {b, d, f, h, j, k}
 371 [3]: (00072A) 011100101010 {b, d, f, i, j, k}
 372 [3]: (0008EA) 100011101010 {b, d, f, g, h, l}
